FICHA,CODIGO_PROGRAMA,PROGRAMA,NIVEL_FORMACION,FECHA_INICIO_FICHA,FECHA_FIN_FICHA,AÑO_APERTURA,MES_APERTURA,TRIMESTRE_APERTURA,DURACION_MAXIMA,DURACION_ETAPA_LECTIVA,DURACION_ETAPA_PRODUCTIVA,JORNADA,LINEA_TECNOLOGICA,TECNOLOGICA_DE_RED,PROGRAMA_ESPECIAL,AMPLIACION_COBERTURA,CONVENIO,ESTADO_FICHA,CUPO,TOTAL_MATRICULADOS,OCUPACION_CUPO,EN_TRANSITO,INDUCCION,FORMACION,CONDICIONADO,APLAZADO,RETIRO_VOLUNTARIO,CANCELADO,DESERCION_VIRT_COMP,CANCELAMIENTO_VIRT_COMP,POR_CERTIFICAR,CERTIFICADO,TRASLADADO,OTRO,TOTAL_DESERCION,TASA_DESERCION,TASA_CERTIFICACION
2822003,836201,CONSTRUCCION DE ESTRUCTURAS EN CONCRETO,OPERARIO,2023-08-28,2025-07-25,2023,8,3,1296,864,432,NOCTURNA,MATERIALES HERRAMIENTAS,MATERIALES PARA LA CONSTRUCCIÓN,NO,NO,CURSOS FIC,Terminada por fecha,35,22,0.6286,0,0,2,0,0,0,15,0,0,0,5,0,0,15,0.6818,0.2273
3112005,836201,CONSTRUCCION DE ESTRUCTURAS EN CONCRETO,OPERARIO,2024-10-25,2025-08-30,2024,10,4,1296,864,432,NOCTURNA,MATERIALES HERRAMIENTAS,MATERIALES PARA LA CONSTRUCCIÓN,NO,NO,CURSOS FIC,Terminada por fecha,40,26,0.65,0,0,1,0,0,0,17,0,0,0,8,0,0,17,0.6538,0.3077
3334901,836201,CONSTRUCCION DE ESTRUCTURAS EN CONCRETO,OPERARIO,2025-10-09,2027-02-20,2025,10,4,1296,864,432,NOCTURNA,MATERIALES HERRAMIENTAS,MATERIALES PARA LA CONSTRUCCIÓN,NO,NO,CURSOS FIC,En ejecucion,30,26,0.8667,0,0,18,0,0,1,7,0,0,0,0,0,0,8,0.3077,0.0
3171467,832235,INSTALACIONES ELECTRICAS PARA VIVIENDAS,OPERARIO,2025-04-29,2026-01-26,2025,4,2,880,440,440,NOCTURNA,PRODUCCIÓN Y TRANSFORMACIÓN,TECNOLOGÍAS  DE PRODUCCIÓN INDUSTRIAL,AULAS ABIERTAS,NO,SIN CONVENIO,Terminada por fecha,25,18,0.72,0,0,16,0,0,1,0,0,0,0,1,0,0,1,0.0556,0.0556
3214523,935105,MANEJO DE MAQUINARIA DE CONFECCION INDUSTRIAL PARA ROPA EXTERIOR,OPERARIO,2025-04-29,2026-03-22,2025,4,2,1296,864,432,DIURNA,DISEÑO,DISEÑO DE MODAS Y CONFECCIONES,ATENCION A INSTITUCIONES,NO,SIN CONVENIO,Terminada por fecha,30,24,0.8,0,0,12,0,0,0,12,0,0,0,0,0,0,12,0.5,0.0
3448723,935105,MANEJO DE MAQUINARIA DE CONFECCION INDUSTRIAL PARA ROPA EXTERIOR,OPERARIO,2026-03-04,2027-03-04,2026,3,1,1296,864,432,DIURNA,DISEÑO,DISEÑO DE MODAS Y CONFECCIONES,FULL POPULAR,NO,SIN CONVENIO,En ejecucion,17,17,1.0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2961840,935101,MANEJO DE MAQUINAS EN PROCESOS DE CONFECCION INDUSTRIAL DE ROPA DEPORTIVA,OPERARIO,2024-04-22,2025-03-16,2024,4,2,1296,864,432,DIURNA,DISEÑO,DISEÑO DE MODAS Y CONFECCIONES,ATENCION A INSTITUCIONES,NO,SIN CONVENIO,Terminada por fecha,30,26,0.8667,0,0,8,0,0,0,14,0,0,0,4,0,0,14,0.5385,0.1538
3137909,761322,PRODUCCION DE POLLO DE ENGORDE.,OPERARIO,2024-12-17,2025-09-14,2024,12,4,880,440,440,DIURNA,PRODUCCIÓN Y TRANSFORMACIÓN,TECNOLOGÍAS PECUARIAS,AULAS ABIERTAS,NO,SIN CONVENIO,Terminada por fecha,30,25,0.8333,0,0,7,0,0,0,0,0,0,0,18,0,0,0,0.0,0.72
3494864,231205,ALISTAMIENTO DE LABORATORIOS DE MICROBIOLOGIA Y BIOTECNOLOGIA.,TÉCNICO,2026-05-28,2027-08-27,2026,5,2,2208,1344,864,DIURNA,MATERIALES HERRAMIENTAS,BIOTECNOLOGÍA  INDUSTRIAL,AULAS ABIERTAS,NO,SIN CONVENIO,En ejecucion,25,25,1.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2923101,134508,.APOYO ADMINISTRATIVO EN SALUD.,TÉCNICO,2024-04-15,2025-11-19,2024,4,2,2640,1776,864,DIURNA,CLIENTE,TECNOLOGÍAS DE SERVICIOS DE SALUD,AULAS ABIERTAS,NO,SIN CONVENIO,Terminada por fecha,25,25,1.0,0,0,10,0,0,4,0,0,0,1,10,0,0,4,0.16,0.4
